case_id,ramp1,hold1_T,hold1_d,ramp2,hold2_T,hold2_d,htc_bot,htc_top,tool_len,t_ramp1_end,t_hold1_end,t_ramp2_end,t_hold2_end,T_min,T_max,start_near_T_ini,max_not_too_high,min_not_too_low,ramp1_slope_ok,hold1_temp_ok,ramp2_slope_ok,hold2_temp_ok,overall
13,1.7306775477690823,104.50452430035389,53.51561456315923,1.9669329828713449,180.76300096476265,108.276927326944,59.231878806775555,117.37514546354055,0.06986895163077203,48.82742276820073,102.34303733135997,141.11328386669743,249.39021119364145,20.0,180.76300096476265,True,True,True,True,True,True,True,True
14,2.9602044308296023,108.18326419320888,66.54270749680248,2.3671868569167245,178.77606786163085,108.02020844238886,72.79732796201395,105.13944902290449,0.05248257811614035,29.789585906570437,96.33229340337292,126.15368391259935,234.1738923549882,20.0,178.77606786163085,True,True,True,True,True,True,True,True
15,1.7423761435373406,118.38045649486037,66.13954655111453,2.0671408869899386,182.30484242813694,106.55061659134785,45.458961167272506,76.50747918300935,0.028313469404481283,56.463385853717064,122.60293240483159,153.52699100944847,260.07760760079634,20.0,182.30484242813694,True,True,True,True,True,True,True,True
16,2.4156746882650415,108.61724737832702,57.30582558519504,2.8249321183514566,181.57632265441578,105.82153645669307,75.66849525587828,83.55815623372636,0.020299298860991636,36.68426374164341,93.99008932683844,119.81693125416427,225.63846771085736,20.0,181.57632265441578,True,True,True,True,True,True,True,True
17,2.979507206996918,115.89974012424463,63.82297834008638,2.4339490349884456,176.57117994825663,100.57297183972483,75.56433940966619,83.80373648888286,0.04812828859592312,32.186443415555004,96.00942175564138,120.93658290480654,221.50955474453139,20.0,176.57117994825663,True,True,True,True,True,True,True,True
18,1.5751705111869276,108.73677672351404,62.42805018748351,1.9185818353511814,179.79964116876246,102.38714881262621,84.93227985333505,94.44859697913532,0.028952892247130664,56.334711761870665,118.76276194935417,155.80202873269724,258.18917754532345,20.0,179.79964116876246,True,True,True,True,True,True,True,True
19,2.728486902328885,106.25322155514534,64.4558397657259,2.6698660541398307,177.39119842666554,103.43051720423259,82.21317938718323,80.34251570538132,0.06980087016836471,31.612107604960237,96.06794737068614,122.7127210892835,226.1432382935161,20.0,177.39119842666554,True,True,True,True,True,True,True,True
20,2.786653950288488,119.0060450683084,63.43194781948285,2.691179534693215,175.33768242997533,102.94964547947016,74.70743968163995,94.43326513463848,0.06752541660309284,35.528647200008024,98.96059501949088,119.89254572566647,222.84219120513663,20.0,175.33768242997533,True,True,True,True,True,True,True,True
21,2.528849520145453,111.33788046020038,69.39443643063298,2.754718033974477,177.08858404018807,109.28051983381577,45.57899696694853,95.49381803387664,0.04929182148513504,36.11835331939674,105.51278975002973,129.38118672172388,238.66170655553964,20.0,177.08858404018807,True,True,True,True,True,True,True,True
22,2.1237907187507488,108.4375508504455,69.57241320994349,2.219434933154689,175.20239002891645,103.46684016658367,65.49968772070042,74.43611064927532,0.052202463139988456,41.641367988681125,111.21378119862462,141.29568996788595,244.7625301344696,20.0,175.20239002891645,True,True,True,True,True,True,True,True
23,2.2932563362359737,118.19037846674634,65.11376404327406,1.8981475421700043,176.96557853154962,109.0681556754254,78.84948864192086,74.6699240195779,0.02097109120283636,42.81700955764531,107.93077360091937,138.89527913014192,247.96343480556732,20.0,176.96557853154962,True,True,True,True,True,True,True,True
24,1.7431571759598883,113.705188208158,67.85345241316236,2.248449428090079,181.37560332202898,109.52284650275382,80.956486235774,88.49956715377525,0.034073844005969287,53.756017816671196,121.60947022983356,151.70595106167193,261.22879756442575,20.0,181.37560332202898,True,True,True,True,True,True,True,True
25,2.5756796146157264,107.99535371233279,62.566748568533804,2.189321061175837,181.7907467423258,109.08951536190614,54.221486704422354,115.334466204998,0.021000713159916723,34.16393607846335,96.73068464699716,130.43766090490567,239.5271762668118,20.0,181.7907467423258,True,True,True,True,True,True,True,True
26,2.0678467092075588,115.47025436936318,63.65435046873502,2.621987117313126,175.7726811915166,105.93673610198746,77.78638619906383,108.32342949104594,0.0691587180823732,46.16892245651484,109.82327292524985,132.82202315707713,238.7587592590646,20.0,175.7726811915166,True,True,True,True,True,True,True,True
27,1.6692837468861736,119.53945210902825,59.35780759406034,1.6981158739689104,179.5490023095754,108.83297919084848,62.47225919795463,88.70246204319535,0.022094377633338123,59.63003731073631,118.98784490479665,154.32674675505154,263.15972594590005,20.0,179.5490023095754,True,True,True,True,True,True,True,True
28,2.837459884148232,103.40982036593043,67.1295314830794,2.353170887320752,182.5076495715089,105.33964989259073,77.40347443515458,118.42698990308415,0.02188453044383049,29.395946998901433,96.52547848198084,130.13877432537657,235.4784242179673,20.0,182.5076495715089,True,True,True,True,True,True,True,True
29,1.7252485516363718,117.50947320116605,68.75016652744122,2.9025283150703256,181.84512661668523,102.290977303171,80.57136148326786,93.75490427355035,0.03345373079162674,56.519087124391326,125.26925365183254,147.4346372181115,249.72561452128252,20.0,181.84512661668523,True,True,True,True,True,True,True,True
30,1.901932717977941,111.04244141149235,67.59959046558444,2.5530982347400633,180.14913053347107,109.15226160283038,79.14672704808771,104.27109892501147,0.03718937214950889,47.86838175237084,115.46797221795528,142.53574743382535,251.68800903665573,20.0,180.14913053347107,True,True,True,True,True,True,True,True
31,1.5172940714716432,101.1146109920622,56.511208112728866,2.3567971923966002,178.99353991733994,107.57767618290026,72.70439576901919,113.25534962051488,0.030635875002779006,53.46004608940974,109.9712542021386,143.01564562305825,250.5933218059585,20.0,178.99353991733994,True,True,True,True,True,True,True,True
32,2.1245295764633374,101.56110171502999,69.72501455650028,1.6805489693664706,177.99178947125364,100.36140721969952,87.78565856373535,114.87176548801611,0.034305757595870144,38.39019358384417,108.11520814034446,153.59480388520177,253.95621110490129,20.0,177.99178947125364,True,True,True,True,True,True,True,True
33,2.0612374941345504,110.36341554269158,58.81209153519944,2.657499703216713,184.0157677668901,103.47144248087801,58.45768922430334,79.84597643395902,0.027251295883347116,43.83940026310863,102.65149179830807,130.36639695334821,233.83783943422623,19.99999999999997,184.0157677668901,True,True,True,True,True,True,True,True
34,1.545607367568836,110.44616636502448,69.25802217681128,2.2278363191366317,181.69790536633553,103.60915305521887,82.47519229104799,107.60043575194743,0.048835540455991484,58.51820343435075,127.77622561116203,159.75870941810695,263.36786247332583,20.0,181.69790536633553,True,True,True,True,True,True,True,True
35,2.3414771276835484,107.02485017908135,50.334565787947064,1.5263746917226242,178.43538478333028,108.1553761223766,88.42633697181304,85.84798042495848,0.04218841631690582,37.16664542658851,87.50121121453557,134.28561807839478,242.44099420077137,20.0,178.43538478333028,True,True,True,True,True,True,True,True
36,2.181314809127576,114.93649766498756,60.679460169860235,1.9770173447568613,183.61502442028953,107.80429250603504,65.2265041096528,93.19173229922583,0.039726657984007624,43.52260263751555,104.20206280737578,138.94051714488603,246.74480965092107,20.0,183.61502442028953,True,True,True,True,True,True,True,True
37,2.168420916957429,108.18875262954998,62.46912992555295,1.7975165206231025,175.1927378962705,106.09817008480735,57.953947362478196,108.57306028484028,0.03533597193942738,40.669572932034825,103.13870285758777,140.41456903070858,246.51273911551593,20.0,175.1927378962705,True,True,True,True,True,True,True,True
38,2.189283782318995,105.64484898521232,59.145514132147404,1.953027305524894,180.1081238376439,108.85055156383383,45.727350317622076,71.12134468162573,0.02188876957684208,39.12003079586748,98.26554492801489,136.3926487538464,245.24320031768025,20.0,180.1081238376439,True,True,True,True,True,True,True,True
39,2.242512206787943,111.75375687862135,60.064838159366644,2.284497697885665,180.67888459166647,100.31011056576534,88.53861991070735,118.6803080896864,0.04274407148565466,40.91561089428566,100.98044905365231,131.15125105395038,231.46136161971572,20.0,180.67888459166647,True,True,True,True,True,True,True,True
40,1.6082790753046352,100.18060563797708,66.81175015331515,1.6019300746294047,183.86291510090808,105.26813209002567,71.82781214544227,91.63180088521044,0.05431640782743413,49.85490818674584,116.66665834006099,168.90508671359055,274.17321880361624,20.0,183.86291510090808,True,True,True,True,True,True,True,True
41,2.3296669874379567,117.17738135295052,65.88907983133083,1.7467033455952228,184.6870640638989,103.34058288328852,76.26064213591222,91.3416294780927,0.03476805806119973,41.712992404902046,107.60207223623289,146.25184231951118,249.5924252027997,20.0,184.6870640638989,True,True,True,True,True,True,True,True
42,2.097571226707325,118.84826673793535,66.88481870964581,2.981654703427661,177.20268820433088,100.49599283452402,83.41358923232166,71.60175207843675,0.03795148423078569,47.1251061605679,114.00992487021372,133.58107822989427,234.0770710644183,20.0,177.20268820433088,True,True,True,True,True,True,True,True
43,1.6596970382580782,118.34487718719066,63.60901059385398,1.5086947480097368,178.59852725466544,102.92153638349787,80.45344109745628,89.95667131953208,0.0526776400518046,59.25471632485875,122.86372691871273,162.8013287079157,265.72286509141355,20.0,178.59852725466544,True,True,True,True,True,True,True,True
44,2.246939686278716,106.6726088346861,60.67347015591798,2.820497487016915,176.69219621506264,103.27477157435284,77.03912451229053,94.09532267156459,0.04694534594176507,38.57362499045514,99.24709514637311,124.07235654181311,227.34712811616595,20.0,176.69219621506264,True,True,True,True,True,True,True,True
45,2.0916469690530497,101.66902668056505,53.850619106809866,2.8281062014676497,179.09405054788695,106.13039321634406,75.96990936929005,113.08530909121663,0.04452073208398884,39.04532069173175,92.89593979854162,120.27292579261146,226.40331900895552,20.0,179.09405054788695,True,True,True,True,True,True,True,True
46,1.661494494280466,113.16182873340742,59.349034903271544,2.808699470111238,182.60971168591982,109.06629928021322,59.37037033136322,119.17659274535812,0.04008374043657265,56.07110288605109,115.42013778932264,140.14613061680086,249.2124298970141,20.0,182.60971168591982,True,True,True,True,True,True,True,True
47,2.5105988114532294,115.9854141111377,56.73798192911886,1.7683807771515472,181.64453958499874,107.34494846074674,75.16582156378524,110.07805898305544,0.06884765492038382,38.23207980233916,94.97006173145802,132.09957949268517,239.4445279534319,20.0,181.64453958499874,True,True,True,True,True,True,True,True
48,2.405793441208115,104.10342746208292,64.42058422208206,1.6235228097225807,175.52570875877925,107.18168835709066,80.10776095933849,119.02582443466645,0.032206538557687986,34.95870677070629,99.37929099278836,143.37145474249297,250.55314309958362,20.0,175.52570875877925,True,True,True,True,True,True,True,True
49,2.815933510357124,114.94687449534773,51.13530363475739,2.423927159211591,182.66354025251508,101.73233860070829,43.25570499865214,81.68135385989726,0.04056462977652701,33.71772598540735,84.85302962016473,112.78978733164355,214.52212593235186,20.0,182.66354025251508,True,True,True,True,True,True,True,True
